speed,keyDown,keyUp,keyLeft,keyRight,timestamp,gazePointX,gazePointY,AOIHit,posX,posY,posZ,fixation,saccade,eyesNotFound,movementUnclassified,navigationLeft,navigationRight,navigationForward,eyeMovementType,timeElapsed,fixationSize
2.0,False,True,False,False,1900-01-01 18:15:11.600,852.0,593.0,2.0,-117.25686645507812,-10.360183715820312,167.4405059814453,True,False,False,False,False,False,False,0,0.0,1
2.0,False,True,False,False,1900-01-01 18:15:11.620,851.0,592.0,2.0,-117.24302673339844,-10.360158920288086,167.4405059814453,True,False,False,False,False,False,False,0,0.02,2
2.0,False,True,False,False,1900-01-01 18:15:11.640,852.0,593.0,2.0,-117.228271484375,-10.360143661499023,167.4405059814453,True,False,False,False,False,False,False,0,0.04,3
3.0,False,True,False,False,1900-01-01 18:15:11.650,851.0,593.0,2.0,-117.2126693725586,-10.360136032104492,167.4405059814453,True,False,False,False,False,False,False,0,0.05,4
3.0,False,True,False,False,1900-01-01 18:15:11.670,855.0,589.0,2.0,-117.19635772705078,-10.360121726989746,167.44049072265625,True,False,False,False,False,False,False,0,0.07,5
3.0,False,False,False,False,1900-01-01 18:15:11.690,856.0,587.0,2.0,-117.17890930175781,-10.360121726989746,167.4404754638672,True,False,False,False,False,False,False,0,0.09,6
3.0,False,False,False,False,1900-01-01 18:15:11.700,857.0,585.0,2.0,-117.1607894897461,-10.360113143920898,167.44046020507812,True,False,False,False,False,False,False,0,0.1,7
3.0,False,False,False,False,1900-01-01 18:15:11.720,856.0,584.0,2.0,-117.14193725585938,-10.360105514526367,167.44044494628906,True,False,False,False,False,False,False,0,0.12,8
3.0,False,False,False,False,1900-01-01 18:15:11.730,856.0,584.0,2.0,-117.12239074707031,-10.36009693145752,167.4404296875,True,False,False,False,False,False,False,0,0.13,9
5.0,True,False,False,False,1900-01-01 18:15:12.250,856.0,583.0,2.0,-116.42701721191406,-10.359636306762695,167.44004821777344,True,False,False,False,False,False,False,0,0.65,10
5.0,True,False,False,False,1900-01-01 18:15:12.270,852.0,585.0,2.0,-116.4062271118164,-10.35955810546875,167.44003295898438,True,False,False,False,False,False,False,0,0.67,11
5.0,True,False,False,False,1900-01-01 18:15:12.290,852.0,585.0,2.0,-116.386962890625,-10.35942268371582,167.4400177001953,True,False,False,False,False,False,False,0,0.69,12
5.0,True,False,False,False,1900-01-01 18:15:12.300,850.0,585.0,2.0,-116.36917114257812,-10.359260559082031,167.44003295898438,True,False,False,False,False,False,False,0,0.7,13
5.0,True,False,False,False,1900-01-01 18:15:12.320,850.0,587.0,2.0,-116.353515625,-10.35904598236084,167.44003295898438,True,False,False,False,False,False,False,0,0.72,14
5.0,True,False,False,False,1900-01-01 18:15:12.340,849.0,589.0,2.0,-116.33892059326172,-10.35886287689209,167.44000244140625,True,False,False,False,False,False,False,0,0.74,15
