speed,keyDown,keyUp,keyLeft,keyRight,timestamp,gazePointX,gazePointY,AOIHit,posX,posY,posZ,fixation,saccade,eyesNotFound,movementUnclassified,navigationLeft,navigationRight,navigationForward,eyeMovementType,timeElapsed,fixationSize
5.0,False,False,False,False,1900-01-01 13:24:38.110,0.0,0.0,2.0,-117.02871704101562,-10.360058784484863,167.44033813476562,False,False,True,False,False,False,False,2,0.0,1
5.0,False,False,False,False,1900-01-01 13:24:38.120,0.0,0.0,2.0,-117.00497436523438,-10.360024452209473,167.44033813476562,False,False,True,False,False,False,False,2,0.01,1
5.0,False,False,False,False,1900-01-01 13:24:38.140,0.0,0.0,2.0,-116.98085021972656,-10.359989166259766,167.44032287597656,False,False,True,False,False,False,False,2,0.03,1
5.0,False,False,False,False,1900-01-01 13:24:38.160,0.0,0.0,2.0,-116.95635986328125,-10.359951972961426,167.4403076171875,False,False,True,False,False,False,False,2,0.05,1
5.0,False,False,False,False,1900-01-01 13:24:38.170,0.0,0.0,2.0,-116.93179321289062,-10.359901428222656,167.44029235839844,False,False,True,False,False,False,False,2,0.06,1
5.0,False,False,False,False,1900-01-01 13:24:38.190,0.0,0.0,2.0,-116.90682220458984,-10.359867095947266,167.44027709960938,False,False,True,False,False,False,False,2,0.08,1
5.0,False,False,False,False,1900-01-01 13:24:38.210,0.0,0.0,2.0,-116.88191223144531,-10.359817504882812,167.44027709960938,False,False,True,False,False,False,False,2,0.1,1
5.0,False,False,False,False,1900-01-01 13:24:38.220,0.0,0.0,2.0,-116.85673522949219,-10.359779357910156,167.44024658203125,False,False,True,False,False,False,False,2,0.11,1
5.0,False,False,False,False,1900-01-01 13:24:38.240,0.0,0.0,2.0,-116.83158874511719,-10.359743118286133,167.44024658203125,False,False,True,False,False,False,False,2,0.13,1
5.0,False,False,False,False,1900-01-01 13:24:38.260,0.0,0.0,2.0,-116.80645751953125,-10.359708786010742,167.4402313232422,False,False,True,False,False,False,False,2,0.15,1
5.0,True,False,False,False,1900-01-01 13:24:38.270,1905.0,328.0,2.0,-116.78114318847656,-10.359684944152832,167.44021606445312,False,False,False,True,False,False,False,3,0.16,1
0.0,False,False,False,False,1900-01-01 13:24:39.240,1809.0,355.0,-1.0,-116.51846313476562,-10.35997200012207,167.43983459472656,True,False,False,False,False,False,False,0,1.13,2
0.0,False,False,False,False,1900-01-01 13:24:39.260,1801.0,363.0,-1.0,-116.51856994628906,-10.359991073608398,167.43983459472656,True,False,False,False,False,False,False,0,1.15,3
0.0,False,False,False,False,1900-01-01 13:24:39.280,1799.0,365.0,-1.0,-116.51868438720703,-10.35999870300293,167.43984985351562,True,False,False,False,False,False,False,0,1.17,4
0.0,False,False,False,False,1900-01-01 13:24:39.290,1798.0,365.0,-1.0,-116.51879119873047,-10.359993934631348,167.43983459472656,True,False,False,False,False,False,False,0,1.18,5
0.0,False,False,False,False,1900-01-01 13:24:39.310,1867.0,335.0,-1.0,-116.51890563964844,-10.35997486114502,167.43983459472656,False,True,False,False,False,False,False,1,1.2,1
0.0,False,False,False,False,1900-01-01 13:24:39.320,1907.0,323.0,-1.0,-116.51899719238281,-10.359947204589844,167.43983459472656,False,True,False,False,False,False,False,1,1.21,1
0.0,False,False,False,False,1900-01-01 13:24:39.340,1907.0,323.0,-1.0,-116.51908874511719,-10.359911918640137,167.43983459472656,False,False,True,False,False,False,False,2,1.23,1
0.0,False,False,False,False,1900-01-01 13:24:39.360,1907.0,323.0,-1.0,-116.5191650390625,-10.359870910644531,167.43983459472656,False,False,True,False,False,False,False,2,1.25,1
0.0,False,False,False,False,1900-01-01 13:24:39.380,1907.0,323.0,-1.0,-116.51922607421875,-10.359823226928711,167.43984985351562,False,False,True,False,False,False,False,2,1.27,1
0.0,False,False,False,False,1900-01-01 13:24:39.390,1907.0,323.0,-1.0,-116.51927185058594,-10.35977554321289,167.43983459472656,False,False,True,False,False,False,False,2,1.28,1
0.0,False,False,False,False,1900-01-01 13:24:39.410,1907.0,323.0,-1.0,-116.5193099975586,-10.35972785949707,167.43983459472656,False,False,True,False,False,False,False,2,1.3,1
0.0,False,False,False,False,1900-01-01 13:24:39.430,1907.0,323.0,-1.0,-116.51933288574219,-10.359682083129883,167.43983459472656,False,False,True,False,False,False,False,2,1.32,1
0.0,False,False,False,False,1900-01-01 13:24:39.440,1907.0,323.0,-1.0,-116.51934814453125,-10.359639167785645,167.43983459472656,False,False,True,False,False,False,False,2,1.33,1
0.0,False,False,False,False,1900-01-01 13:24:39.460,1907.0,323.0,-1.0,-116.51934814453125,-10.359601020812988,167.43983459472656,False,False,True,False,False,False,False,2,1.35,1
0.0,False,False,False,False,1900-01-01 13:24:39.480,1907.0,323.0,-1.0,-116.51934814453125,-10.359565734863281,167.43983459472656,False,False,True,False,False,False,False,2,1.37,1
