speed,keyDown,keyUp,keyLeft,keyRight,timestamp,gazePointX,gazePointY,AOIHit,posX,posY,posZ,fixation,saccade,eyesNotFound,movementUnclassified,navigationLeft,navigationRight,navigationForward,eyeMovementType,timeElapsed
0.0,False,False,False,False,1900-01-01 12:29:27.080,653.0,416.0,2.0,-117.4100341796875,-10.359647750854492,167.4404296875,False,True,False,False,False,False,False,1,0.0
0.0,False,False,False,False,1900-01-01 12:29:27.090,652.0,415.0,2.0,-117.4100341796875,-10.359647750854492,167.4404296875,False,True,False,False,False,False,False,1,0.01
0.0,False,False,False,False,1900-01-01 12:29:27.110,-1.0,-1.0,2.0,-117.41004180908203,-10.359648704528809,167.44044494628906,False,False,True,False,False,False,False,2,0.03
0.0,False,False,False,False,1900-01-01 12:29:27.130,-1.0,-1.0,2.0,-117.4100341796875,-10.359648704528809,167.4404296875,False,False,True,False,False,False,False,2,0.05
0.0,False,False,False,False,1900-01-01 12:29:27.140,-1.0,-1.0,2.0,-117.4100341796875,-10.359647750854492,167.4404296875,False,False,True,False,False,False,False,2,0.06
0.0,False,False,False,False,1900-01-01 12:29:27.160,-1.0,-1.0,2.0,-117.4100341796875,-10.359647750854492,167.4404296875,False,False,True,False,False,False,False,2,0.08
0.0,False,False,False,False,1900-01-01 12:29:27.180,667.0,580.0,2.0,-117.4100341796875,-10.359648704528809,167.4404296875,False,True,False,False,False,False,False,1,0.1
0.0,False,False,False,False,1900-01-01 12:29:27.190,601.0,506.0,2.0,-117.4100341796875,-10.359647750854492,167.4404296875,False,True,False,False,False,False,False,1,0.11
0.0,False,False,False,False,1900-01-01 12:29:27.210,401.0,236.0,2.0,-117.41002655029297,-10.359647750854492,167.4404296875,False,True,False,False,False,False,False,1,0.13
0.0,False,False,False,False,1900-01-01 12:29:27.230,-1.0,-1.0,2.0,-117.4100341796875,-10.359648704528809,167.4404296875,False,False,True,False,False,False,False,2,0.15
0.0,False,False,False,False,1900-01-01 12:29:27.240,593.0,447.0,2.0,-117.4100341796875,-10.359647750854492,167.4404296875,False,True,False,False,False,False,False,1,0.16
0.0,False,False,False,False,1900-01-01 12:29:27.260,648.0,431.0,2.0,-117.4100341796875,-10.359647750854492,167.4404296875,False,True,False,False,False,False,False,1,0.18
0.0,False,False,False,False,1900-01-01 12:29:27.710,-1.0,-1.0,2.0,-117.4100341796875,-10.359647750854492,167.4404296875,False,False,True,False,False,False,False,2,0.63
0.0,False,False,False,False,1900-01-01 12:29:27.730,-1.0,-1.0,2.0,-117.4100341796875,-10.359648704528809,167.4404296875,False,False,True,False,False,False,False,2,0.65
