speed,keyDown,keyUp,keyLeft,keyRight,timestamp,gazePointX,gazePointY,AOIHit,posX,posY,posZ,fixation,saccade,eyesNotFound,movementUnclassified,navigationLeft,navigationRight,navigationForward,eyeMovementType,timeElapsed,fixationSize
0.0,False,False,False,False,1900-01-01 13:05:02.310,846.0,341.0,-1.0,-117.4100341796875,-10.35965347290039,167.4404296875,True,False,False,False,False,False,False,0,0.0,1
0.0,False,False,False,False,1900-01-01 13:05:02.350,845.0,341.0,-1.0,-117.4100341796875,-10.359649658203125,167.4404296875,True,False,False,False,False,False,False,0,0.04,2
0.0,False,False,False,False,1900-01-01 13:05:02.360,845.0,341.0,-1.0,-117.4100341796875,-10.35964584350586,167.4404296875,True,False,False,False,False,False,False,0,0.05,3
0.0,False,False,False,False,1900-01-01 13:05:02.380,845.0,341.0,-1.0,-117.4100341796875,-10.359631538391113,167.4404296875,True,False,False,False,False,False,False,0,0.07,4
0.0,False,False,False,False,1900-01-01 13:05:02.400,844.0,342.0,-1.0,-117.4100341796875,-10.35963249206543,167.4404296875,True,False,False,False,False,False,False,0,0.09,5
0.0,False,False,False,False,1900-01-01 13:05:02.410,843.0,343.0,-1.0,-117.4100341796875,-10.359633445739746,167.4404296875,True,False,False,False,False,False,False,0,0.1,6
0.0,False,False,False,False,1900-01-01 13:05:02.430,842.0,342.0,-1.0,-117.4100341796875,-10.359634399414062,167.4404296875,True,False,False,False,False,False,False,0,0.12,7
0.0,False,False,False,False,1900-01-01 13:05:02.450,841.0,343.0,-1.0,-117.4100341796875,-10.359634399414062,167.4404296875,True,False,False,False,False,False,False,0,0.14,8
0.0,False,False,False,False,1900-01-01 13:05:02.460,840.0,343.0,-1.0,-117.4100341796875,-10.359636306762695,167.4404296875,True,False,False,False,False,False,False,0,0.15,9
0.0,False,False,False,False,1900-01-01 13:05:02.480,838.0,342.0,-1.0,-117.4100341796875,-10.359638214111328,167.4404296875,True,False,False,False,False,False,False,0,0.17,10
0.0,False,False,False,False,1900-01-01 13:05:02.500,837.0,342.0,-1.0,-117.41002655029297,-10.359640121459961,167.44041442871094,True,False,False,False,False,False,False,0,0.19,11
