speed,keyDown,keyUp,keyLeft,keyRight,timestamp,gazePointX,gazePointY,AOIHit,posX,posY,posZ,fixation,saccade,eyesNotFound,movementUnclassified,navigationLeft,navigationRight,navigationForward,eyeMovementType,timeElapsed
0.0,False,False,False,False,1900-01-01 15:36:55.310,835.0,409.0,2.0,-116.57064056396484,-10.359647750854492,167.44113159179688,True,False,False,False,False,False,False,0,0.0
0.0,False,False,False,False,1900-01-01 15:36:55.320,835.0,409.0,2.0,-116.57064056396484,-10.359647750854492,167.44113159179688,True,False,False,False,False,False,False,0,0.01
0.0,False,False,False,False,1900-01-01 15:36:55.340,834.0,409.0,2.0,-116.57064056396484,-10.359647750854492,167.44113159179688,True,False,False,False,False,False,False,0,0.03
0.0,False,False,False,False,1900-01-01 15:36:55.360,833.0,409.0,2.0,-116.57064056396484,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,0.05
0.0,False,False,False,False,1900-01-01 15:36:55.370,833.0,409.0,2.0,-116.57064819335938,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,0.06
0.0,False,False,False,False,1900-01-01 15:36:55.390,833.0,409.0,2.0,-116.57063293457031,-10.359647750854492,167.44113159179688,True,False,False,False,False,False,False,0,0.08
0.0,False,False,False,False,1900-01-01 15:36:55.410,832.0,408.0,2.0,-116.57063293457031,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,0.1
0.0,False,False,False,False,1900-01-01 15:36:55.420,833.0,409.0,2.0,-116.57064056396484,-10.359648704528809,167.44114685058594,True,False,False,False,False,False,False,0,0.11
0.0,False,False,False,False,1900-01-01 15:36:55.440,833.0,409.0,2.0,-116.57064056396484,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,0.13
0.0,False,False,False,False,1900-01-01 15:36:55.460,834.0,410.0,2.0,-116.57064056396484,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,0.15
0.0,False,False,False,False,1900-01-01 15:36:55.970,834.0,409.0,-1.0,-116.57064819335938,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,0.66
0.0,False,False,False,False,1900-01-01 15:36:55.990,834.0,408.0,-1.0,-116.57064819335938,-10.359649658203125,167.44113159179688,True,False,False,False,False,False,False,0,0.68
0.0,False,False,False,False,1900-01-01 15:36:56.010,834.0,408.0,-1.0,-116.57064819335938,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,0.7
0.0,False,False,False,False,1900-01-01 15:36:56.020,834.0,408.0,-1.0,-116.57064819335938,-10.359649658203125,167.44113159179688,True,False,False,False,False,False,False,0,0.71
0.0,False,False,False,False,1900-01-01 15:36:56.040,833.0,407.0,-1.0,-116.57064056396484,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,0.73
0.0,False,False,False,False,1900-01-01 15:36:56.060,833.0,406.0,-1.0,-116.57064056396484,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,0.75
0.0,False,False,False,False,1900-01-01 15:36:56.070,833.0,405.0,-1.0,-116.57064819335938,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,0.76
0.0,False,False,False,False,1900-01-01 15:36:56.090,832.0,406.0,-1.0,-116.57064056396484,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,0.78
0.0,False,False,False,False,1900-01-01 15:36:56.110,832.0,406.0,-1.0,-116.57064056396484,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,0.8
0.0,False,False,False,False,1900-01-01 15:36:56.120,832.0,406.0,-1.0,-116.57064056396484,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,0.81
0.0,False,False,False,False,1900-01-01 15:36:56.140,832.0,406.0,-1.0,-116.57064056396484,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,0.83
0.0,False,False,False,False,1900-01-01 15:36:56.160,832.0,406.0,-1.0,-116.57064056396484,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,0.85
0.0,False,False,False,False,1900-01-01 15:36:56.170,832.0,406.0,-1.0,-116.57064056396484,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,0.86
0.0,False,False,False,False,1900-01-01 15:36:56.190,832.0,405.0,-1.0,-116.57064819335938,-10.359649658203125,167.44113159179688,True,False,False,False,False,False,False,0,0.88
0.0,False,False,False,False,1900-01-01 15:36:56.210,832.0,406.0,-1.0,-116.57064056396484,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,0.9
0.0,False,False,False,False,1900-01-01 15:36:56.220,832.0,406.0,-1.0,-116.57064056396484,-10.359648704528809,167.4411163330078,True,False,False,False,False,False,False,0,0.91
0.0,False,False,False,False,1900-01-01 15:36:56.240,831.0,407.0,-1.0,-116.57064056396484,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,0.93
0.0,False,False,False,False,1900-01-01 15:36:56.260,831.0,406.0,-1.0,-116.57063293457031,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,0.95
0.0,False,False,False,False,1900-01-01 15:36:56.270,831.0,407.0,-1.0,-116.57064819335938,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,0.96
0.0,False,False,False,False,1900-01-01 15:36:56.290,831.0,407.0,-1.0,-116.57064819335938,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,0.98
0.0,False,False,False,False,1900-01-01 15:36:56.310,831.0,407.0,-1.0,-116.57064056396484,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,1.0
0.0,False,False,False,False,1900-01-01 15:36:56.320,831.0,407.0,-1.0,-116.57064056396484,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,1.01
0.0,False,False,False,False,1900-01-01 15:36:56.340,831.0,407.0,-1.0,-116.57064056396484,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,1.03
0.0,False,False,False,False,1900-01-01 15:36:56.360,831.0,406.0,-1.0,-116.57064056396484,-10.359647750854492,167.44113159179688,True,False,False,False,False,False,False,0,1.05
0.0,False,False,False,False,1900-01-01 15:36:56.370,830.0,406.0,-1.0,-116.57064056396484,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,1.06
0.0,False,False,False,False,1900-01-01 15:36:56.390,831.0,406.0,-1.0,-116.57063293457031,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,1.08
0.0,False,False,False,False,1900-01-01 15:36:56.410,831.0,406.0,-1.0,-116.57064056396484,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,1.1
0.0,False,False,False,False,1900-01-01 15:36:56.420,831.0,406.0,-1.0,-116.57064056396484,-10.359648704528809,167.44114685058594,True,False,False,False,False,False,False,0,1.11
0.0,False,False,False,False,1900-01-01 15:36:56.440,831.0,405.0,-1.0,-116.57064056396484,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,1.13
0.0,False,False,False,False,1900-01-01 15:36:56.460,832.0,405.0,-1.0,-116.57064056396484,-10.359649658203125,167.44113159179688,True,False,False,False,False,False,False,0,1.15
0.0,False,False,False,False,1900-01-01 15:36:56.470,832.0,404.0,-1.0,-116.57064819335938,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,1.16
0.0,False,False,False,False,1900-01-01 15:36:56.490,831.0,404.0,-1.0,-116.57064819335938,-10.359649658203125,167.44113159179688,True,False,False,False,False,False,False,0,1.18
0.0,False,False,False,False,1900-01-01 15:36:56.510,831.0,404.0,-1.0,-116.57063293457031,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,1.2
0.0,False,False,False,False,1900-01-01 15:36:56.520,830.0,404.0,-1.0,-116.57064056396484,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,1.21
0.0,False,False,False,False,1900-01-01 15:36:56.540,831.0,403.0,-1.0,-116.57064056396484,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,1.23
0.0,False,False,False,False,1900-01-01 15:36:56.560,830.0,403.0,-1.0,-116.57064056396484,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,1.25
0.0,False,False,False,False,1900-01-01 15:36:56.570,830.0,403.0,-1.0,-116.57064819335938,-10.359648704528809,167.44113159179688,True,False,False,False,False,False,False,0,1.26
