speed,keyDown,keyUp,keyLeft,keyRight,timestamp,gazePointX,gazePointY,AOIHit,posX,posY,posZ,fixation,saccade,eyesNotFound,movementUnclassified,navigationLeft,navigationRight,navigationForward
0.0,False,False,False,False,1900-01-01 16:00:28.360,749.0,621.0,,-116.69056701660156,-10.359648704528809,167.44046020507812,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:28.380,749.0,620.0,,-116.69056701660156,-10.359648704528809,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:28.390,749.0,620.0,,-116.69056701660156,-10.359647750854492,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:28.410,751.0,624.0,,-116.69056701660156,-10.359648704528809,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:28.430,751.0,626.0,,-116.69056701660156,-10.359648704528809,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:28.440,752.0,625.0,,-116.69056701660156,-10.359648704528809,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:28.460,752.0,625.0,,-116.69056701660156,-10.359649658203125,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:28.480,752.0,626.0,,-116.69056701660156,-10.359648704528809,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:28.490,752.0,625.0,,-116.69056701660156,-10.359648704528809,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:28.510,751.0,627.0,,-116.69055938720703,-10.359649658203125,167.44046020507812,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.060,750.0,629.0,-1.0,-116.69056701660156,-10.359649658203125,167.44049072265625,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.080,749.0,632.0,-1.0,-116.69056701660156,-10.359649658203125,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.090,749.0,632.0,-1.0,-116.69056701660156,-10.359649658203125,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.110,748.0,634.0,-1.0,-116.69056701660156,-10.359649658203125,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.130,746.0,634.0,-1.0,-116.69056701660156,-10.359648704528809,167.44046020507812,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.140,746.0,633.0,-1.0,-116.69056701660156,-10.359649658203125,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.160,746.0,634.0,-1.0,-116.69056701660156,-10.359649658203125,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.180,746.0,633.0,-1.0,-116.69056701660156,-10.359649658203125,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.190,746.0,634.0,-1.0,-116.69056701660156,-10.359649658203125,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.210,746.0,634.0,-1.0,-116.69056701660156,-10.359649658203125,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.230,746.0,636.0,-1.0,-116.69056701660156,-10.359649658203125,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.240,,,-1.0,-116.69056701660156,-10.359649658203125,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.260,,,-1.0,-116.69056701660156,-10.359649658203125,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.280,746.0,637.0,-1.0,-116.69056701660156,-10.359649658203125,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.290,745.0,637.0,-1.0,-116.69056701660156,-10.359649658203125,167.44049072265625,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.310,745.0,638.0,-1.0,-116.69056701660156,-10.359649658203125,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.330,744.0,639.0,-1.0,-116.69056701660156,-10.359649658203125,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.340,743.0,639.0,-1.0,-116.69056701660156,-10.359649658203125,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.360,742.0,639.0,-1.0,-116.69056701660156,-10.359649658203125,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.380,742.0,638.0,-1.0,-116.69056701660156,-10.359649658203125,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.390,741.0,638.0,-1.0,-116.69056701660156,-10.359649658203125,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.410,,,-1.0,-116.69056701660156,-10.359649658203125,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.430,,,-1.0,-116.69056701660156,-10.359649658203125,167.44049072265625,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.440,,,-1.0,-116.69056701660156,-10.359649658203125,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.460,740.0,638.0,-1.0,-116.69056701660156,-10.359649658203125,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.480,739.0,638.0,-1.0,-116.69056701660156,-10.359648704528809,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.490,739.0,638.0,-1.0,-116.69056701660156,-10.359648704528809,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.510,738.0,638.0,-1.0,-116.69056701660156,-10.359648704528809,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.530,738.0,637.0,-1.0,-116.69056701660156,-10.359647750854492,167.44046020507812,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.540,738.0,637.0,-1.0,-116.69056701660156,-10.359648704528809,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.560,,,-1.0,-116.69056701660156,-10.359648704528809,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.580,739.0,637.0,-1.0,-116.69056701660156,-10.359648704528809,167.4404754638672,True,False,False,False,False,False,False
0.0,False,False,False,False,1900-01-01 16:00:29.590,739.0,637.0,-1.0,-116.6905746459961,-10.359648704528809,167.44049072265625,True,False,False,False,False,False,False
